	BJ2	BJ3	BJ5	BJ7	FJ32	FJ41	FJ50	FJ51	FJ53	FJ54	FJ61	FJ68	FJ71	FJ76	FJ78	FJ88	FJ96	FJ98	FJ99	FJ101	FJ104	FJ106	FJ110	FJ112	FJ113	GD142	GD143	GD144	GD145	GD146	GD148	GS17	GS18	GS24	GS33	GS35	GS36	GS44	GS47	GS51	GS55	HB20	HL103	HL105	HL113	HL114	HL115	HL116	HL120	HL121	HL123	HL124	HL125	HL134	HL137	HN242	HN245	HN248	HN262	HN269	HN274	HN276	HN278	HN283	HN293	HN294	HN318	HN324	HN329	HN330	HN332	HN337	JL18	JL33	JL37	JL42	JL45	JL47	JL50	JX13	JX20	JX26	JX31	JX34	JX35K	JX35Z	JX38	JX40	JX47	JX54	JX55	JX59	LN19	LN24	LN26	LN28	LN29	LN31	LN34	LN41	LN48	LN49	LN51	LN57	LN70	LN71	NM2	NM3	S136	S138	S159	S176K	S176Z	S179B	S179	S181	S182	S183	S184	S185	S187	SC16	SC17	SC23	SC38	SC46	SC49	SC56	SC59	SC62	SC65	SC67	SC75	SC77	SC78	SC82	SC95	SC98	SC107	SC114	SD25	SH9	SN43	SN50	SN51	SN57	SN58	SN63	SN70	SN88	SN94	SN96	SN102	SN103	SN108	SN114	SN117	SX16	X6	XZ10	XZ11	XZ13	XZ17	XZ42	XZ51	XZ57	XZ59	XZ76	XZ79	YN492	YN493	YN497	YN500	YN501	YN504	YN506	YN509	YN526	YN527	YN528	YN529	YN533	YN534	YN548	YN553	YN556	YN557	YN561	YN575	YN580	YN583	YN589	YN593	YN594	YN598	YN613	YN618	YN620	Z407
Proteobacteria	37300.25	26767	23345.66667	3273.666667	30968.4	15252.4	9863.5	9020.666667	10800.8	5103	10595.6	8046	9793.8	5729.6	6216.6	2116	14342.4	10845.6	10629.6	8076.25	7514	9675.4	2694.4	6960.333333	16594.2	33057.4	26104.25	27877.2	28167	20674.66667	24395.66667	12004.4	7681.2	6773	9128	7502	7440.2	5410	5410	7166	3436.666667	5875.8	15930.33333	9342.4	19887	13897.6	12925.4	19978.4	9774.6	21864.16667	12881	23846	13304.6	23220.75	13992.8	11531.4	6727.8	8902.333333	8691.2	18250.2	22212.8	13630	21750	13188.25	11588.2	12963	14763	11591	9318.8	11813.6	9542.8	13650.6	26928.75	22793.25	9082.6	33625.75	9568.75	18363.6	34012.4	4005.666667	6922.8	15404.6	11736.8	11257.6	4321.333333	11471.33333	9967.5	3236.666667	11095.8	3764	9994.4	22296.8	10679.33333	12472.8	17224.25	10734	5696.333333	6135	19081.33333	5684.8	12792.25	23827.25	12804.75	6042.2	16363.75	12749	11392	11744.2	19257.66667	13849.8	36805.8	21719.25	18996.8	26421.75	34277	24524.4	23871.4	12555.8	14046.6	14051	9476.333333	5191.666667	5102	5936.666667	4913.4	6032	5916.6	5768.6	5053	5915.6	5857	5236.4	5636.4	5295.6	4895.333333	6214.6	5881.25	6328.2	5750.2	6802.8	10436.66667	31414.6	11034	1419.333333	6219.75	8849	6778.8	5637	17842.2	12195.5	9594.8	6872.2	14660	11524	13572.8	5816.666667	11495.6	6859.2	17722	8286	6138	9846.8	9432.8	6046.2	6008.666667	5060.333333	6136.6	4327	7893.4	25606	11187	11431.6	13077	13876.8	9896.4	28677.8	10093.4	10187.8	8793.8	10794.4	4997.2	13253	11855.6	12602.8	14621	15301.8	26663.8	18140.2	13292.2	20007.6	19570.8	7690	17164.4	11952	7404	9117.6	9553.8	8929.6	18995.33333
Firmicutes	4899.5	2439.4	676.6666667	2164.333333	100.8	12917.6	12533.5	6327.333333	9292.4	4464.8	12636.8	11320.6	11199.4	7939.2	7844.6	1249.333333	12748.8	18303.2	9355	9998	8191.4	4855.4	5040.2	5311.333333	5207	1643.2	1766.5	6014.2	3939.8	4476.666667	293.8333333	7924.8	7525	5032.25	6281.6	3272	9184.8	3731.8	3731.8	7796	2717	11961.6	3158	2162.4	6137	3440.4	2558.2	5828.6	18143.8	4542.833333	4485.6	8491	4519.8	4161	2524.2	6559.4	9138.8	4791.333333	5056.6	5004.6	5275	7834.8	5237.6	10253	7264.2	6471.6	11343	7952.4	3692	4664.6	5986.6	2857.6	2452	4076.5	4272	3411.5	3037.25	3138.8	4294.8	3697	6179.4	6200.8	8657	7352	7731	25645	8261.75	2744	9470.6	3898	8037.2	6225.8	3181.666667	2447.6	2228.5	6343	1922	1316	9251.666667	1157.2	5001	9637.25	8839.25	7351.6	8987.5	2583.333333	1961.4	4824.2	2778.333333	2485	209.8	1465	2639.4	1845.25	2047	5379.8	5982.8	1720	1328.6	1333.25	7097.333333	10321	10614.66667	11765.66667	10851.8	10540.8	11108	11219.4	10267.75	10399	10916.8	10879.4	10187.4	12122.4	9807.666667	12669.6	11724.75	10609.2	11470	11995.4	237.6666667	511.2	15723	2490.666667	8737	12350.6	9062.2	9392.4	13640.2	5385.25	5543.6	3654.2	4282.4	4192.2	2299.6	2287.666667	4344.4	8982	6450.8	6489	5707.8	5314.2	4595.4	8065.4	11137.66667	10767.33333	13134	8351.6	7927	6241.2	4782	4715.6	6599.6	4668.6	4876	1308	5594.8	3231.6	3302.8	4066.6	3466.6	3510.6	5468	3755	3548.6	4076.8	2506.2	5813.6	8297.4	3084.6	4664	10110.8	6302.6	4577.8	7395	6167	4423.2	2932.6	3300.666667
Actinobacteriota	972.75	1690.8	2090	453	98	8437.4	5720	2892.666667	5884.8	2962.4	5729.6	8453.2	6483.4	7072.4	5017.8	2032.666667	12156	19415.2	14779	11094.75	12866.8	9584.2	4304.2	4187.333333	2512.2	2229.2	5828.5	2026.6	2056.2	6736.666667	537.3333333	5764.4	5283.4	4137.75	4916.2	5160	10674.6	7190.8	7190.8	7147.4	7293	1009.4	3299.666667	2984.6	6966.8	6293.4	3190.8	4903.6	3295	4855.166667	3490.4	5737.333333	3395	5529.25	3160.2	4350.4	2676	3768.333333	2752.6	6405.2	9074.2	7527.2	6596.6	13111	10033.6	7406.8	11660.6	6171.4	3968.2	3722.6	3670.2	4781.6	3630.25	8857.25	5205.2	5078.25	2829.25	4278.6	4096.4	8272.666667	13650.8	11352.6	11718.2	8279.6	4125	12410.66667	6563.5	1710	12320.2	4228.5	11669.8	11170.8	6279.333333	2916.8	4696.25	4322.25	2759.333333	1377.333333	5410.333333	1358.6	5443.25	7554.75	10918.75	4313.4	5246.75	3397.666667	1484.6	4967	3623.666667	442	494.6	1809.75	2660.6	5367.5	2435.333333	3498.2	7722.8	3025.2	4351.2	4804.25	5599	956	844.3333333	925.6666667	879.2	1281.2	1310	1164.4	1071.75	1115.4	1032.6	885.4	1131	1047.6	830.6666667	1229	1209.25	1340.6	1138.6	1255	312.3333333	592.6	7086.25	1357.333333	4317.25	5714.2	6841.4	5556.4	7758.2	9133.75	9713.4	8389.4	15569.4	9853.8	4564.4	6078	5995	6491.8	1129.4	5115.666667	3936.6	3637.6	6508.4	8429.6	1144.333333	1053	1369.8	2448.6	6529.2	811.4	4304.6	3087.8	2764.6	2037.2	4142.6	1196.2	3136.8	1821.4	2085.6	2900.8	1178.6	2503.2	3513	4014.6	2692.2	2651.4	2417.8	3793.2	4978.2	2727.4	4050.8	3083.8	5947.2	1739.2	4098	2839.4	2038	1315	10279
Bacteroidota	1381.25	1314.2	809	9661.166667	486.4	2644	1803	870.3333333	2678.8	487.2	2740.8	2245.6	1048	8225.8	694	104.3333333	1435.6	1397.2	4968	904	4055.6	4141.8	356.8	1977.333333	2939.4	1749	2295.75	1234.4	1966.8	7525	164	882.8	1284	1795.75	3774.2	1942.666667	4118.6	6660.8	6660.8	984.2	5779.666667	13837.2	2031.333333	1547.4	9397	14681.6	3650.6	5364.4	2732.4	5734.5	3968.4	7353.666667	4228	2649.5	1618.2	2529.2	1934.8	2387.333333	5511.6	8697	3759.4	4238.8	3879.8	2657.75	1768	3415.8	1915	2346.4	3481.2	3308.2	4303	2187.4	1703	6215.25	2398.2	3616.25	2698.25	1926.8	2387.2	1552.333333	1790.6	3570.2	2083.2	7128	405.3333333	1188.333333	1513.5	234	1839.2	702	2196	851	727	2885.2	10006.75	3625.25	2168	1640	7991.333333	1827.6	3964	4899.5	3640.25	2043	1914.75	3429.333333	1498.2	2010	5657.666667	789.8	1140.6	1223.75	2637.8	4634.25	3258	9077.2	1915.8	29074.6	2158.4	2612	4589.666667	9360	11093	9500	12088	10317	10558.8	10042.2	11816.25	10980.2	10627.2	9522.6	10739.4	9826	11409.66667	10744.2	12548.75	11682.2	10241.6	11606.2	61	1074.6	703.75	345.6666667	5479.75	574	6510.8	2701.4	4490	315.25	2239.2	6483	5127	5206	1012.8	817	1636.6	4598.8	1973.8	2601	4937.8	4138.6	3688.8	2159	8231.666667	10812.66667	12160	14107.6	4160.4	1524.8	3316.4	5063.4	3207	5592.6	3914	1739.8	3649.6	5274.4	3523	4187	1543.6	3811.2	6024	6485	4723.2	5522.6	2353	2468.8	2936	3428.4	3242.2	15288	4165.6	3666.2	2857.4	2814.8	2140	3333	2985
Fusobacteriota	51	226.6	36	16.66666667	7.4	1192.4	2215.5	707.6666667	1120.4	200.6	1667	1688.2	363.2	998.2	350.8	49.33333333	788.2	878.6	5860.2	737.5	4937.2	4451	175.6	449.3333333	530.6	116.6	47.25	9	75.6	71	6	32.8	97.2	69.75	98.8	129.6666667	407.8	70	70	120.4	52	2606.4	63.33333333	141.4	235.2	180	89.2	183.8	65.8	137.6666667	65	70	135.8	254	126	28.6	120.6	87.66666667	495.4	92	105	392.2	184	67.25	35.8	246.2	115.8	94.8	44.2	292.4	394.4	45.4	160	478.25	276	126	125	71.6	414.4	1308.333333	2061.2	716	565.4	550	273.6666667	802.3333333	436.5	59.66666667	1058.6	505.25	337.2	537.6	11.66666667	58.2	67.75	144	26.33333333	54	1871.333333	67	477.5	287	60.75	195	50.25	58	40	104.8	25.33333333	47.2	27.2	175.5	674	109.5	62.66666667	56.2	63	10.2	29.6	56.5	94.66666667	2106.333333	2102	2110.333333	2007.6	2210.6	2295.4	1994.4	2041	2427.2	2499.6	2287.8	2212.4	2211.6	2200.333333	2451.8	2707.25	2420.4	2184.8	2548.8	0	33.4	5	43.66666667	36	158	169.8	2487.4	191.8	84	349.2	121.2	147.8	260.8	107.6	74.66666667	98.4	842.8	18.2	259	1979.2	587.4	120.6	663.8	2598.333333	1852	3029	1309.8	851	8.6	110.2	149.6	134.8	134	87.8	24.6	148.2	100.8	29.4	49.6	40.8	27.6	52.8	58.8	77.6	126.4	26.8	66.4	82.2	42	65.8	40.6	26.8	39.6	85.8	60	69.4	42.8	202.6666667
Patescibacteria	48	360.4	97.66666667	32.33333333	37.2	198.2	370.5	104.3333333	140.8	48.8	246.6	405.6	88.8	309	100.4	19.66666667	361.4	311.4	1255.2	195	802.2	1010.8	52	350.3333333	544.4	388.2	394.5	91.8	33.2	2370.333333	15.33333333	55.4	51.2	42.75	37.8	56.33333333	186.2	54.4	54.4	45	23.66666667	1319	65.66666667	65.8	105.8	151.4	103.6	304.2	172.2	356	118.8	1796	95	93.25	119	417.4	334.6	244.3333333	566	796.2	527.6	638.2	654.4	342.5	294.2	722.2	209.2	437.4	344.6	538	397.8	252.4	152.75	194.5	168.2	81.25	100.5	51	201.8	449	388.4	226.6	245.2	287.4	49	442	115.5	31	258.8	206	122.4	213.4	470	45.6	69.75	201.25	159.3333333	61	433	63.4	236.5	519.75	363.75	139.6	287.5	199.3333333	161.8	251.6	103	81	196.8	310.5	361.4	230.75	258	200.4	358.6	125.2	485.4	445.25	279.8333333	1023.666667	1071	1092	1060	1290.2	1325.4	1197.2	1193.25	1370.2	1343.8	1258	1152.8	1118.8	1294.333333	1292.4	1391.5	1450	1309	1701	8.666666667	163	62.75	22.66666667	45.5	92.2	66.6	312.6	206.2	33.25	154.4	80.8	109.8	117.8	58	40	60.8	742.2	38.8	347.6666667	692	495.6	440.2	302.4	1195	1228	1805.2	770.6	851.8	124.8	397.6	375.2	264.8	472.2	259	219	326.8	446.6	457.2	572.6	294.2	712.2	678.4	537	657.6	1273.6	259.2	425.6	565.2	607.2	463.4	315.8	1368.4	370.2	327.8	527	453.8	526.6	504.3333333
Deinococcota	80.75	170.2	220.3333333	7.5	20.8	298.4	20.5	21.66666667	98.4	32.6	89.4	157.8	114	93.8	100.4	16.33333333	169	149.2	131.8	294.25	144.2	187.4	188.2	218.6666667	209.2	251.6	331.25	147.4	66.2	473	6	235.2	185.2	297.5	40.4	237	143.8	421.2	421.2	168.8	324	2.2	134	132.6	408.4	119.2	197.4	137.2	67.2	825.5	256.6	1267.666667	80.4	271	157.4	457.4	363.6	501	315.6	827.6	529.4	305.2	668.8	429.25	551	652.4	214.2	512.6	1151	346.2	209.6	322.8	116.25	125.75	446.8	471	271	211.6	429.8	102.6666667	108.6	292.2	231.6	337	117	314.3333333	113.5	65	190.6	102.75	201	139.4	18	180.6	1311.75	179	74.66666667	189.3333333	77	22.4	108.75	633.25	383.5	112	147.75	139.6666667	61.2	222.2	1741.666667	24.6	31.6	47	73	417.25	777.6666667	406.6	227.4	77.2	394.6	544	239	0	0	3.333333333	9	1.8	9.6	1.2	0	0	0	7.4	7.8	9	0.666666667	6.2	3.25	1.8	11.2	3.4	37.33333333	40.8	308.5	39.33333333	157.5	86.8	90	59.6	415	45.25	441.8	377.8	516	328.4	348.8	218.3333333	81.8	97.8	94	975.6666667	509.4	173.4	280.6	165	0.666666667	31.33333333	4.8	30.6	151.4	209.8	468	414	424.6	1070.4	796.6	234.2	380.4	650	497.4	433.4	250.6	781.4	575	558	1074.4	825.6	292.6	471.4	601	765.4	659	359.4	756	426.6	452.2	669.2	361.2	389.8	275
Acidobacteriota	8	1057.2	165	29	2657.8	20	125.5	50.66666667	70.8	53.8	100.2	98.4	260	83	620.8	18.33333333	139.2	83	112.6	123.5	52.4	52.4	54.8	137.6666667	283.4	1442.8	1374.75	279.2	35.6	902.6666667	10.83333333	273.6	64.8	37.75	30	31	35.2	43.4	43.4	51.8	10.33333333	0	153	194	1050.2	1134.8	95	151	91.2	116.5	215.2	457.3333333	73.6	181.5	232.6	146.8	109	162.6666667	107.2	166.4	220	197.4	79.8	223	217.8	111.6	106.4	141.4	110.6	127.2	320.6	374	185.5	368.25	139.6	70.75	233	202.6	85.4	60.66666667	219.6	383.2	300.4	277.2	103.6666667	417.3333333	1161	71.33333333	169.2	71	258.8	87.6	202.3333333	197.8	245	122	445	118.3333333	111	35.2	237.25	291.75	244	100.8	866.75	300.6666667	265.4	90.8	251	6.4	3251.8	87	113.8	1444.5	1113	1141.4	374.8	284.4	524.8	405.25	856.1666667	0	0	0	1	0	0.4	0	0	0	8	0.8	0	0.4	0	0	0	0	0	0	3	1518.4	25.25	5.666666667	22	84.8	115	22.4	66.4	1.25	61.8	34.2	103.2	104.2	10.4	11	82.6	133.8	8	75	132.2	60	126.8	176.4	0.666666667	0	0	33.8	78.8	11.2	60.6	72.4	54.4	114.2	89.6	343	100.8	60.8	148	45.4	44.8	113.8	47	93.6	117.6	185.4	32.8	54.4	49.6	116	81.6	58.6	269.8	47	55.8	79.2	49.4	104.4	819.6666667
Cyanobacteria	13	41.2	11	12.16666667	0.8	28.4	85	41.33333333	35.2	78	50.8	48.4	30.8	30.6	13.8	12	23.4	25.2	20.2	42.75	38.2	7.6	16	352	44.4	57.8	49.5	36.4	8	1884.666667	4.333333333	52.2	44.2	189	53.8	6	19.4	495.4	495.4	104.2	6.666666667	1.8	53.66666667	159.2	11.4	59.6	36	18.8	25.8	28.33333333	93.4	942.3333333	15.8	26.5	46.4	234.6	366.8	115	375	959.8	276.2	278.4	381.6	562	310.8	567	288.2	804.8	191.4	185	134.4	513.6	25	71	24.4	18.75	81.75	54	34	7.666666667	51.4	56.8	47	165.2	22	46.66666667	41.5	14.33333333	26.4	20.5	62.8	31.4	34	148.8	33.25	31	43.33333333	12.66666667	58.33333333	2.8	9.25	65.5	24.5	25.6	187.5	32.33333333	69.8	92.6	12	3.6	3	26.25	250.2	59.75	26	69.2	172.4	390.6	53	313.5	62.33333333	1	0	5.333333333	92.2	2	2	0	22.25	7.2	2.2	13.4	17.4	4.8	3.666666667	5.6	6.75	10.4	5.4	3.2	1.333333333	8.2	1029.25	9	72	61.4	49.4	29.8	119.4	17.25	83.8	45.4	104	76.6	35.2	15.66666667	31.2	122	8.4	262	423.4	171.2	396	159.4	0	41.66666667	4.4	13.8	92.8	299.6	400.4	475	408.4	218	841.6	325.4	353.4	604.6	565.6	747.2	249.8	692.6	330	466.2	1584.6	699.6	309.4	961.6	473.8	904	723.4	895.8	463.6	414.8	358.6	527.8	530.4	832.6	212.6666667
Myxococcota	5.75	288.4	15	17.33333333	133	4.8	13.75	636	27.8	595.6	75	188.6	123.2	72.6	1629.8	22.66666667	191.8	128.2	30.6	48	70.8	37.8	64.8	92	81	224.4	189.5	26.4	10.2	461	7.666666667	120.4	11.6	46.5	30.2	19.33333333	56	18.2	18.2	35.2	86	1.2	77.33333333	35	307.2	24.2	121.2	21.6	140.8	96.83333333	51.6	57.66666667	46.8	94.5	65.2	75.8	97.2	988.3333333	188.2	592.6	134.8	267.4	162	423	263.4	149.2	176	171.2	295	59.6	108.2	67	184.75	201.75	113.6	60.25	52	33.8	26.2	32	44.2	94.4	171.6	103.4	45.66666667	130.3333333	150.25	30.66666667	95.6	32.25	461	82.8	101	65.6	236.5	585.5	78	31.33333333	40.33333333	14.8	107.5	170.25	751.25	98.8	219	104	19.4	49	104.3333333	4.8	95.6	15	30	102.75	37.33333333	700.8	217	42.2	314	289.5	75.5	0	0	0	3	0	0	0	0	0.8	0	4	0.4	0.4	0	0	0	0	0	0.8	0	117.6	195.75	3.333333333	75.25	81	34.4	26.4	91.8	14.75	74.8	140.2	281.8	216.2	74	81.66666667	52.8	59.4	9	95.33333333	49.8	99.6	87.8	48	0	0	0	16	134.4	7.8	41.6	74.4	41.2	61	45.2	20.4	59.2	37.8	44	35.6	28.6	102.8	83	117.8	68.6	147	37.8	69.8	87.6	120.8	128.4	77.8	49.4	134.2	28.8	45.2	78	67	485.6666667
