SampleID	place	p_class	Eriophyoidea_family	geographic_emarcation	longitude	latitude	heigh	bio12	bio15	bio18	bio2	bio3	bio8	plant	Relationship	Group	Zoogeographical
BJ2_1	BJ	Monocotyledoneae	Eriophyidae	Temperate broad-leaved forests	116.2033	39.9974	85	624	134	482	112	27	252	31	Monocotyledoneae_Eriophyidae	MED	Northern China
BJ2_2	BJ	Monocotyledoneae	Eriophyidae	Temperate broad-leaved forests	116.2033	39.9974	85	624	134	482	112	27	252	31	Monocotyledoneae_Eriophyidae	MED	Northern China
BJ2_3	BJ	Monocotyledoneae	Eriophyidae	Temperate broad-leaved forests	116.2033	39.9974	85	624	134	482	112	27	252	31	Monocotyledoneae_Eriophyidae	MED	Northern China
BJ2_4	BJ	Monocotyledoneae	Eriophyidae	Temperate broad-leaved forests	116.2033	39.9974	85	624	134	482	112	27	252	31	Monocotyledoneae_Eriophyidae	MED	Northern China
BJ2_5	BJ	Monocotyledoneae	Eriophyidae	Temperate broad-leaved forests	116.2033	39.9974	85	624	134	482	112	27	252	31	Monocotyledoneae_Eriophyidae	MED	Northern China
BJ3_1	BJ	Dicotyledoneae	Eriophyidae	Temperate broad-leaved forests	117.1869	40.1727	55	574	132	433	118	27	229	23	Dicotyledoneae_Eriophyidae	DED	Northern China
BJ3_2	BJ	Dicotyledoneae	Eriophyidae	Temperate broad-leaved forests	117.1869	40.1727	55	574	132	433	118	27	229	23	Dicotyledoneae_Eriophyidae	DED	Northern China
BJ3_3	BJ	Dicotyledoneae	Eriophyidae	Temperate broad-leaved forests	117.1869	40.1727	55	574	132	433	118	27	229	23	Dicotyledoneae_Eriophyidae	DED	Northern China
BJ3_4	BJ	Dicotyledoneae	Eriophyidae	Temperate broad-leaved forests	117.1869	40.1727	55	574	132	433	118	27	229	23	Dicotyledoneae_Eriophyidae	DED	Northern China
BJ3_5	BJ	Dicotyledoneae	Eriophyidae	Temperate broad-leaved forests	117.1869	40.1727	55	574	132	433	118	27	229	23	Dicotyledoneae_Eriophyidae	DED	Northern China
BJ5_1	BJ	Dicotyledoneae	Eriophyidae	Temperate broad-leaved forests	116.2033	39.9974	85	624	134	482	112	27	252	31	Dicotyledoneae_Eriophyidae	DED	Northern China
BJ5_2	BJ	Dicotyledoneae	Eriophyidae	Temperate broad-leaved forests	116.2033	39.9974	85	624	134	482	112	27	252	31	Dicotyledoneae_Eriophyidae	DED	Northern China
BJ5_3	BJ	Dicotyledoneae	Eriophyidae	Temperate broad-leaved forests	116.2033	39.9974	85	624	134	482	112	27	252	31	Dicotyledoneae_Eriophyidae	DED	Northern China
BJ7_1	BJ	Dicotyledoneae	Eriophyidae	Temperate broad-leaved forests	116.1908	40.0202	79	636	138	498	115	28	253	100	Dicotyledoneae_Eriophyidae	DED	Northern China
BJ7_2	BJ	Dicotyledoneae	Eriophyidae	Temperate broad-leaved forests	116.1908	40.0202	79	636	138	498	115	28	253	100	Dicotyledoneae_Eriophyidae	DED	Northern China
BJ7_3	BJ	Dicotyledoneae	Eriophyidae	Temperate broad-leaved forests	116.1908	40.0202	79	636	138	498	115	28	253	100	Dicotyledoneae_Eriophyidae	DED	Northern China
BJ7_4	BJ	Dicotyledoneae	Eriophyidae	Temperate broad-leaved forests	116.1908	40.0202	79	636	138	498	115	28	253	100	Dicotyledoneae_Eriophyidae	DED	Northern China
BJ7_5	BJ	Dicotyledoneae	Eriophyidae	Temperate broad-leaved forests	116.1908	40.0202	79	636	138	498	115	28	253	100	Dicotyledoneae_Eriophyidae	DED	Northern China
BJ7_6	BJ	Dicotyledoneae	Eriophyidae	Temperate broad-leaved forests	116.1908	40.0202	79	636	138	498	115	28	253	100	Dicotyledoneae_Eriophyidae	DED	Northern China
FJ101_1	FJ	Dicotyledoneae	Diptilomiopidae 	Subtropical evergreen broad-leaved forest	117.0281	25.0858	340	1724	60	645	85	34	219	3	Dicotyledoneae_Diptilomiopidae 	DED	Central China
FJ101_2	FJ	Dicotyledoneae	Diptilomiopidae 	Subtropical evergreen broad-leaved forest	117.0281	25.0858	340	1724	60	645	85	34	219	3	Dicotyledoneae_Diptilomiopidae 	DED	Central China
FJ101_3	FJ	Dicotyledoneae	Diptilomiopidae 	Subtropical evergreen broad-leaved forest	117.0281	25.0858	340	1724	60	645	85	34	219	3	Dicotyledoneae_Diptilomiopidae 	DED	Central China
FJ101_4	FJ	Dicotyledoneae	Diptilomiopidae 	Subtropical evergreen broad-leaved forest	117.0281	25.0858	340	1724	60	645	85	34	219	3	Dicotyledoneae_Diptilomiopidae 	DED	Central China
FJ104_1	FJ	Dicotyledoneae	Eriophyidae	Subtropical evergreen broad-leaved forest	117.0281	25.0858	340	1724	60	645	85	34	219	3	Dicotyledoneae_Eriophyidae	DED	Central China
FJ104_2	FJ	Dicotyledoneae	Eriophyidae	Subtropical evergreen broad-leaved forest	117.0281	25.0858	340	1724	60	645	85	34	219	3	Dicotyledoneae_Eriophyidae	DED	Central China
FJ104_3	FJ	Dicotyledoneae	Eriophyidae	Subtropical evergreen broad-leaved forest	117.0281	25.0858	340	1724	60	645	85	34	219	3	Dicotyledoneae_Eriophyidae	DED	Central China
FJ104_4	FJ	Dicotyledoneae	Eriophyidae	Subtropical evergreen broad-leaved forest	117.0281	25.0858	340	1724	60	645	85	34	219	3	Dicotyledoneae_Eriophyidae	DED	Central China
FJ104_5	FJ	Dicotyledoneae	Eriophyidae	Subtropical evergreen broad-leaved forest	117.0281	25.0858	340	1724	60	645	85	34	219	3	Dicotyledoneae_Eriophyidae	DED	Central China
FJ106_1	FJ	Dicotyledoneae	Eriophyidae	Subtropical evergreen broad-leaved forest	117.0281	25.0858	340	1724	60	645	85	34	219	3	Dicotyledoneae_Eriophyidae	DED	Central China
FJ106_2	FJ	Dicotyledoneae	Eriophyidae	Subtropical evergreen broad-leaved forest	117.0281	25.0858	340	1724	60	645	85	34	219	3	Dicotyledoneae_Eriophyidae	DED	Central China
FJ106_3	FJ	Dicotyledoneae	Eriophyidae	Subtropical evergreen broad-leaved forest	117.0281	25.0858	340	1724	60	645	85	34	219	3	Dicotyledoneae_Eriophyidae	DED	Central China
FJ106_4	FJ	Dicotyledoneae	Eriophyidae	Subtropical evergreen broad-leaved forest	117.0281	25.0858	340	1724	60	645	85	34	219	3	Dicotyledoneae_Eriophyidae	DED	Central China
FJ106_5	FJ	Dicotyledoneae	Eriophyidae	Subtropical evergreen broad-leaved forest	117.0281	25.0858	340	1724	60	645	85	34	219	3	Dicotyledoneae_Eriophyidae	DED	Central China
FJ110_1	FJ	Dicotyledoneae	Eriophyidae	Subtropical evergreen broad-leaved forest	117.0281	25.0858	340	1724	60	645	85	34	219	3	Dicotyledoneae_Eriophyidae	DED	Central China
FJ110_2	FJ	Dicotyledoneae	Eriophyidae	Subtropical evergreen broad-leaved forest	117.0281	25.0858	340	1724	60	645	85	34	219	3	Dicotyledoneae_Eriophyidae	DED	Central China
FJ110_3	FJ	Dicotyledoneae	Eriophyidae	Subtropical evergreen broad-leaved forest	117.0281	25.0858	340	1724	60	645	85	34	219	3	Dicotyledoneae_Eriophyidae	DED	Central China
FJ110_4	FJ	Dicotyledoneae	Eriophyidae	Subtropical evergreen broad-leaved forest	117.0281	25.0858	340	1724	60	645	85	34	219	3	Dicotyledoneae_Eriophyidae	DED	Central China
